y,session_label,comm,iso_outlier,lof_outlier,both_flagged,cluster_KMeans (k=4),cluster_GMM (k=4),cluster_Agglomerative (k=4),cluster_DBSCAN,orig_index
0,unknown,pool-92,0,0,False,0,1,2,-1,0
0,unknown,Thread-109 (_ha,0,0,False,0,1,2,0,1
0,unknown,Thread-69 (work,0,0,False,0,1,2,0,2
0,unknown,Thread-79 (work,0,0,False,0,1,2,0,3
0,unknown,Thread-33 (_han,0,1,False,0,1,2,0,4
1,unknown,TaskCon~ller #2,0,1,False,0,1,2,-1,5
0,unknown,JS Helper,0,0,False,0,1,2,0,6
0,unknown,sh,0,0,False,2,0,1,1,7
1,unknown,Thread-144 (wor,0,0,False,0,1,2,0,8
0,unknown,code,0,0,False,2,0,1,-1,9
0,unknown,Thread-80 (work,0,0,False,0,1,2,0,10
0,unknown,WRWorkerLP#1,0,0,False,0,1,1,-1,11
0,unknown,sh,0,0,False,2,0,1,-1,12
1,unknown,WRWorker#3,0,0,False,0,1,1,-1,13
0,unknown,Isolated Web Co,1,1,True,2,0,1,-1,15
0,unknown,Thread-178 (wor,0,0,False,0,1,2,0,16
1,unknown,rtkit-daemon,0,0,False,0,1,2,0,17
0,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,18
0,unknown,sleep,0,0,False,0,1,1,-1,19
0,unknown,pet,0,1,False,0,1,2,-1,20
0,unknown,Thread-88 (_han,0,0,False,0,1,2,0,21
0,unknown,Thread-83 (work,0,0,False,0,1,2,0,22
0,unknown,systemd,0,0,False,2,0,1,-1,23
0,unknown,Thread-51 (work,0,0,False,0,1,2,0,24
0,unknown,Thread-8 (worke,0,0,False,0,1,2,0,25
0,unknown,GDM userdb work,0,0,False,0,1,2,0,26
0,unknown,code,0,0,False,0,1,2,-1,27
0,unknown,Thread-11 (_han,0,0,False,0,1,2,0,28
0,unknown,StreamTrans #47,0,0,False,0,1,2,0,29
0,unknown,Thread-63 (work,0,0,False,0,1,2,0,30
0,unknown,libuv-worker,0,0,False,0,1,2,0,31
0,unknown,ps,1,1,True,2,0,1,-1,32
1,unknown,stress-ng-vm,1,1,True,3,2,3,-1,33
0,unknown,Thread-78 (work,0,0,False,0,1,2,0,34
0,unknown,ibus-x11,0,1,False,2,0,1,-1,35
0,unknown,Thread-44 (_han,0,0,False,0,1,2,0,36
0,unknown,sleep,0,0,False,2,0,1,-1,37
1,unknown,Thread-183 (wor,0,0,False,0,1,2,0,38
0,unknown,sed,0,0,False,2,0,1,-1,39
0,unknown,Thread-41 (work,0,0,False,0,1,2,0,40
0,unknown,NetworkManager,1,0,False,2,0,1,-1,41
0,unknown,IPDL Background,0,0,False,0,1,2,-1,42
0,unknown,TaskCon~ller #7,0,0,False,0,1,2,0,43
0,unknown,WorkerThread,0,0,False,0,1,2,0,44
0,unknown,gmain,0,0,False,0,1,2,0,45
0,unknown,cpuUsage.sh,0,0,False,2,0,1,-1,46
0,unknown,Worker Launcher,0,0,False,0,1,2,2,47
0,unknown,Thread-148 (wor,0,1,False,0,1,2,-1,48
0,unknown,cat,0,1,False,2,0,1,6,49
0,unknown,Thread-21 (_han,0,0,False,0,1,2,0,50
0,unknown,Thread-136 (wor,0,0,False,0,1,2,3,51
0,unknown,pet,0,1,False,0,1,2,-1,52
0,unknown,Thread-21 (_han,0,0,False,0,1,2,0,53
0,unknown,Thread-179 (wor,0,0,False,0,1,2,-1,54
0,unknown,git,0,0,False,2,0,1,-1,55
0,unknown,WorkerThread,0,0,False,0,1,2,0,56
0,unknown,gly-rayon-0,0,0,False,0,1,2,0,57
0,unknown,libuv-worker,0,0,False,0,1,2,0,59
0,unknown,Thread-21 (_han,0,0,False,0,1,2,0,60
0,unknown,Timer,0,0,False,0,1,2,-1,61
0,unknown,Thread-13 (work,0,0,False,0,1,2,0,62
0,unknown,sed,0,0,False,2,0,1,20,63
0,unknown,gjs,0,0,False,2,0,1,-1,64
0,unknown,Thread-164 (_ha,0,1,False,0,1,2,-1,65
0,unknown,upowerd,1,1,True,2,0,1,-1,66
0,unknown,Thread-54 (_han,0,0,False,0,1,2,0,67
0,unknown,Thread-101 (wor,0,0,False,0,1,2,0,68
0,unknown,ibus-extension-,0,0,False,2,0,1,-1,69
2,unknown,Thread-121 (_ha,0,0,False,0,1,2,0,70
0,unknown,Thread-18 (work,0,0,False,0,1,2,0,71
0,unknown,Socket Thread,0,0,False,0,1,2,0,72
0,unknown,WRScene~derLP#1,0,1,False,0,1,2,-1,73
2,unknown,ibus-portal,1,0,False,2,0,1,-1,74
0,unknown,Thread-211 (wor,0,0,False,0,1,2,0,75
1,unknown,dart:io EventHa,0,0,False,0,1,2,0,76
0,unknown,PerfettoTrace,0,0,False,0,1,2,0,77
0,unknown,sh,0,0,False,0,1,1,-1,78
0,unknown,StyleThread#4,0,0,False,0,1,2,-1,79
0,unknown,kworker/5:1,0,0,False,0,1,2,0,80
0,unknown,localsearch-3,0,0,False,2,0,1,-1,81
0,unknown,cat,0,0,False,2,0,1,4,82
0,unknown,python,0,0,False,0,1,1,-1,83
0,unknown,libuv-worker,0,0,False,0,1,2,0,84
1,unknown,Thread-187 (_ha,0,0,False,0,1,2,0,85
0,unknown,bpftool,1,0,False,2,0,1,-1,86
0,unknown,gsd-media-keys,0,0,False,0,0,1,-1,87
0,unknown,migration/0,0,1,False,0,1,2,0,89
0,unknown,pet,0,0,False,0,1,2,5,90
2,unknown,Thread-150 (wor,0,0,False,0,1,2,0,91
0,unknown,Thread-196 (_ha,0,0,False,0,1,2,-1,92
0,unknown,cpuUsage.sh,0,0,False,2,0,1,15,93
0,unknown,Thread-40 (work,0,1,False,0,1,2,0,94
0,unknown,Thread-14 (work,0,0,False,0,1,2,0,95
0,unknown,Task Runner for,0,0,False,0,1,2,-1,96
0,unknown,gly-hdl-loader,0,0,False,0,1,2,-1,97
0,unknown,Thread-73 (work,0,0,False,0,1,2,0,98
0,unknown,python,0,0,False,2,0,1,-1,99
2,unknown,StreamT~ns #636,0,0,False,0,1,2,0,100
0,unknown,Thread-23 (work,0,0,False,0,1,2,0,101
1,unknown,Thread-132 (_ha,0,0,False,0,1,2,-1,102
0,unknown,Thread-62 (work,0,0,False,0,1,2,0,103
0,unknown,Thread-220 (_ha,0,0,False,0,1,2,0,104
0,unknown,Thread-21 (_han,0,0,False,0,1,2,0,105
0,unknown,python,1,1,True,2,3,1,-1,106
1,unknown,stress-ng-vm,1,0,False,2,0,1,-1,107
0,unknown,git,1,1,True,2,0,1,-1,108
0,unknown,DNS Res~er #523,0,0,False,0,1,2,-1,109
0,unknown,WRWorker#2,0,0,False,0,1,2,-1,110
0,unknown,Thread-37 (work,0,0,False,0,1,2,0,111
0,unknown,Thread-26 (work,0,0,False,0,1,2,0,112
0,unknown,python,0,0,False,0,1,1,-1,113
0,unknown,Thread-4 (worke,0,0,False,0,1,2,0,114
0,unknown,gdbus,0,0,False,0,1,2,0,115
0,unknown,Thread-15 (work,0,0,False,0,1,2,0,116
0,unknown,Timer,0,0,False,0,1,2,-1,117
0,unknown,DOM Worker,0,0,False,0,1,2,0,118
0,unknown,Thread-98 (_han,0,0,False,0,1,2,0,119
0,unknown,Backgro~ool #29,0,0,False,0,1,2,-1,120
0,unknown,TaskCon~ller #6,0,1,False,0,1,2,0,121
0,unknown,Thread-137 (wor,0,0,False,0,1,2,-1,122
0,unknown,Thread-32 (_han,0,1,False,0,1,2,0,123
0,unknown,zbus::Connectio,0,1,False,0,1,2,-1,124
0,unknown,Thread-50 (work,0,0,False,0,1,2,0,125
0,unknown,WRWorker#0,0,0,False,0,1,1,-1,126
