model,approach,fold,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,mcc,mean_absolute_error,mean_squared_error,average_severity_distance,adjacent_accuracy,severe_error_rate,quadratic_weighted_kappa
RandomForestRegressor,regression_as_ordinal,1,0.4779350309243885,0.5343984971718789,0.47279059815808183,0.46357538165624945,0.47279059815808183,0.31367451505892846,0.6744024070875355,1.0182481751824817,0.6744024070875355,0.8672480080236251,0.13275199197637488,0.4759380693368027
HistGradientBoostingRegressor,regression_as_ordinal,1,0.40898200256310246,0.5903806639146416,0.4043181185873461,0.36174834620136526,0.4043181185873461,0.23449654475190848,0.6986961609182594,0.9156683568284393,0.6986961609182594,0.8931297709923665,0.10687022900763359,0.44861463611563523
RandomForestClassifier,nominal_argmax,1,0.5285005850559982,0.5203853868813293,0.5224186690371563,0.5201570601806638,0.5224186690371563,0.36659402008269193,0.721569064467599,1.3527051874965175,0.721569064467599,0.8154287624672647,0.18457123753273527,0.4433556925129678
RandomForestClassifier,expected_ordinal_distance,1,0.5166601660444643,0.5182456012749249,0.5106895727801295,0.5087519862820497,0.5106895727801295,0.35307778938067214,0.6990026188220873,1.2300105867275868,0.6990026188220873,0.8341784142196468,0.16582158578035328,0.45366460219548865
CumulativeRandomForestClassifier,cumulative_binary,1,0.5314815846659608,0.5315592664548577,0.5292318314645673,0.5199439115075564,0.5292318314645673,0.3761174831999581,0.752716331420293,1.486153674708865,0.752716331420293,0.7983228394717781,0.201677160528222,0.450157795903281
RandomForestRegressor,regression_as_ordinal,2,0.4867469879518072,0.520881446177694,0.46993490787910475,0.46676303877050956,0.46993490787910475,0.306038039596509,0.6592042588960493,0.988876435976464,0.6592042588960493,0.8729335948444943,0.12706640515550574,0.4715775379260415
HistGradientBoostingRegressor,regression_as_ordinal,2,0.4371532642196694,0.5950116181952908,0.41955617899272596,0.3877567476312587,0.41955617899272596,0.25422029953340675,0.661109554497058,0.8589240683664892,0.661109554497058,0.9023816195012608,0.09761838049873914,0.46200967493286715
RandomForestClassifier,nominal_argmax,2,0.5231157186887083,0.49838933903226745,0.5091891448566634,0.5001887781784599,0.5091891448566634,0.3491263155357269,0.7187727654805267,1.3263379097786494,0.7187727654805267,0.8200056038105912,0.1799943961894088,0.4284831136668156
RandomForestClassifier,expected_ordinal_distance,2,0.5209582516110955,0.5044946439739948,0.5054850929243931,0.5010420720368055,0.5054850929243931,0.34544276824152165,0.6884841692350798,1.205659848697114,0.6884841692350798,0.8397029980386663,0.1602970019613337,0.44134892053552677
CumulativeRandomForestClassifier,cumulative_binary,2,0.5159428411319698,0.5013571405378695,0.5139312838173353,0.4913346797166347,0.5139312838173353,0.3508684831619201,0.7630148500980667,1.4767722050994676,0.7630148500980667,0.7989632950406276,0.20103670495937237,0.42788900161132204
RandomForestRegressor,regression_as_ordinal,3,0.42829191938955197,0.5107099539648968,0.45048022843065566,0.42319261777523065,0.45048022843065566,0.2743347255834322,0.7393017860636721,1.1183162366883752,0.7393017860636721,0.8543198144059032,0.14568018559409676,0.4714480982891248
HistGradientBoostingRegressor,regression_as_ordinal,3,0.379349861642955,0.6058878481234455,0.4192422100111368,0.34333333888364614,0.4192422100111368,0.2409657007820378,0.7334879950806384,0.9605053526008329,0.7334879950806384,0.8878329653129106,0.11216703468708947,0.46905146318528557
RandomForestClassifier,nominal_argmax,3,0.49814126394052044,0.49507813120204514,0.49608447687181056,0.4933241803077561,0.49608447687181056,0.3304993010384454,0.7761131453168236,1.4780725046817789,0.7761131453168236,0.8024708611677893,0.19752913883221063,0.4438160351010363
RandomForestClassifier,expected_ordinal_distance,3,0.4820135841462392,0.4961722673211003,0.4895393821634681,0.4808550766264499,0.4895393821634681,0.31951826900865615,0.7556251222852671,1.3506442686642257,0.7556251222852671,0.8222321603264667,0.17776783967353327,0.45298946871574564
CumulativeRandomForestClassifier,cumulative_binary,3,0.5162255080079381,0.506447812155759,0.5002919416361311,0.49957024765046354,0.5002919416361311,0.3473027727882743,0.7762808508259497,1.5406825614221427,0.7762808508259497,0.7971881376303211,0.20281186236967885,0.4705232340704798
RandomForestRegressor,regression_as_ordinal,4,0.4288493607559755,0.46641252725331783,0.42319552465890575,0.4000352447796693,0.42319552465890575,0.21269449795126624,0.7223735408560311,1.0558365758754864,0.7223735408560311,0.8642857142857143,0.1357142857142857,0.3684282973338944
HistGradientBoostingRegressor,regression_as_ordinal,4,0.40366870483602,0.57596502210397,0.376607552207203,0.31719213890720327,0.376607552207203,0.17426855763562074,0.6949694274596998,0.894135630906059,0.6949694274596998,0.9023068371317399,0.09769316286826014,0.3544284359333969
RandomForestClassifier,nominal_argmax,4,0.4700111172873819,0.4390577755222963,0.4665043391751642,0.4454867884138186,0.4665043391751642,0.2588360491403296,0.7843246247915509,1.417898832684825,0.7843246247915509,0.8081156197887716,0.19188438021122847,0.34087160631216495
