feature,tree_importance
migration_ratio,1383
runtime_per_switch,1326
cpu_migrations,1040
involuntary_switches,996
voluntary_ratio,904
switches_per_runtime,816
total_runtime_ns,749
involuntary_ratio,715
voluntary_switches,694
avg_mutex_wait_ns,650
avg_futex_latency_ns,649
latency_count,546
ctx_switches,482
avg_rwsem_read_wait_ns,452
max_syscall_latency_ns,370
rwsem_read_contentions,358
kfree_count,331
futex_ratio,314
cpu_memory_ratio,292
mutex_contentions,286
avg_syscall_latency_ns,284
syscall_rate,270
max_mutex_wait_ns,261
alloc_pressure,255
syscall_error_ratio,247
lock_pressure,220
fault_rate,173
lock_cpu_ratio,142
memory_lock_ratio,132
bytes_per_syscall,123
syscall_error_count,120
poll_count,109
io_intensity,106
write_count,102
write_bytes,92
kmalloc_count,92
avg_epoll_latency_ns,82
minor_faults,80
major_fault_ratio,73
total_alloc_bytes,68
read_bytes,62
mmap_count,60
io_cpu_ratio,59
major_faults,58
futex_count,51
epoll_count,51
syscall_count,40
read_count,35
large_page_allocs,0
avg_runq_ratio,0
total_free_bytes,0
max_rwsem_write_wait_ns,0
avg_rwsem_write_wait_ns,0
rwsem_write_contentions,0
large_page_ratio,0
free_pressure,0
rwsem_write_ratio,0
mutex_wait_per_contention,0
rwsem_pressure,0
