feature,permutation_importance_mean,permutation_importance_std
involuntary_switches,0.0792670861948711,0.0019428623329507172
voluntary_ratio,0.030842632636739743,0.0017638520432440427
migration_ratio,0.028836938818636602,0.001392708281542996
latency_count,0.015096121485100467,0.0004076248724231054
switches_per_runtime,0.013975566086995083,0.0005372215386778986
runtime_per_switch,0.013105882535963587,0.0002616049411372115
avg_mutex_wait_ns,0.012946145617781957,0.0009087448825068579
voluntary_switches,0.012884598934464763,0.0005534144646266965
involuntary_ratio,0.01284541834009818,0.000824427187037443
avg_futex_latency_ns,0.009474553920966832,0.0006243472864225428
ctx_switches,0.00748172398662339,0.000503782731963294
cpu_migrations,0.007290158439027894,0.0005971060057388996
futex_ratio,0.006745192320711868,0.0006827569068841769
mutex_contentions,0.00551271130267692,0.0004193160815031317
rwsem_read_contentions,0.0034194722987684447,0.0004831372507709508
total_runtime_ns,0.0022724790045317357,0.0007206260469959126
avg_syscall_latency_ns,0.002006577445005231,0.00024457321085561844
max_mutex_wait_ns,0.001919700116211387,0.00024696426308283906
kfree_count,0.0018751391525271056,0.0006349201874376414
syscall_error_count,0.0018532448375074174,0.00021944809360859173
alloc_pressure,0.0017740236741413452,0.000503490544460731
syscall_rate,0.0017397923351575527,0.0005403660457226514
lock_pressure,0.0017275919222181635,0.00038358117508434635
max_syscall_latency_ns,0.0014751730589789513,0.00039869347301335763
lock_cpu_ratio,0.001232478945320481,0.00031498976770841686
write_count,0.0010299685216199617,0.00016336877713055492
minor_faults,0.0009971026876384181,0.0001599571237314886
cpu_memory_ratio,0.0008263010462688847,0.0004085146756151718
avg_rwsem_read_wait_ns,0.0007743942474903953,0.00044787116958980826
poll_count,0.0006905899095002166,0.0002564520303647871
syscall_error_ratio,0.0006113181705213577,0.00012494738265705896
read_bytes,0.000606321311368152,0.0002760526343477974
bytes_per_syscall,0.0005719714928642316,0.0002730245960073391
fault_rate,0.0005325689259777944,0.00019842008201632398
futex_count,0.0005193987115654775,0.0002318411441396248
write_bytes,0.00046890518817663816,0.00013233607934940494
memory_lock_ratio,0.00046781845681462817,0.00038146983851224955
kmalloc_count,0.0003576125079065129,0.00014195551663732098
total_alloc_bytes,0.00033733488363156815,0.00033170247966021434
io_cpu_ratio,0.0002438768863811891,6.146448745380472e-05
avg_epoll_latency_ns,0.0002327421722631673,6.377896372026858e-05
read_count,0.00018432710155884545,6.28819329331971e-05
syscall_count,0.0001672495426901399,6.883733372448285e-05
io_intensity,0.00016626507873775953,6.221221896567554e-05
major_faults,0.0001484478820729107,8.638818312239545e-05
mmap_count,9.494491584935983e-05,3.5084192846126314e-05
epoll_count,5.264655066030688e-05,0.00013468244690325703
large_page_allocs,0.0,0.0
total_free_bytes,0.0,0.0
avg_runq_ratio,0.0,0.0
avg_rwsem_write_wait_ns,0.0,0.0
free_pressure,0.0,0.0
max_rwsem_write_wait_ns,0.0,0.0
rwsem_write_contentions,0.0,0.0
large_page_ratio,0.0,0.0
mutex_wait_per_contention,0.0,0.0
rwsem_write_ratio,0.0,0.0
rwsem_pressure,0.0,0.0
major_fault_ratio,-1.0178887856837626e-05,5.8306911381389404e-05
