feature,tree_importance,permutation_importance_mean,permutation_importance_std,tree_importance_norm,permutation_importance_mean_norm,combined_importance
involuntary_switches,996,0.0792670861948711,0.0019428623329507172,0.720173535791757,1.0,1.7201735357917571
migration_ratio,1383,0.028836938818636602,0.001392708281542996,1.0,0.36379461139448904,1.363794611394489
runtime_per_switch,1326,0.013105882535963587,0.0002616049411372115,0.9587852494577006,0.16533826541502908,1.1241235148727298
voluntary_ratio,904,0.030842632636739743,0.0017638520432440427,0.6536514822848879,0.38909759544984235,1.0427490777347304
cpu_migrations,1040,0.007290158439027894,0.0005971060057388996,0.7519884309472162,0.09196955242060602,0.8439579833678222
switches_per_runtime,816,0.013975566086995083,0.0005372215386778986,0.5900216919739696,0.17630982489551075,0.7663315168694803
involuntary_ratio,715,0.01284541834009818,0.000824427187037443,0.5169920462762111,0.162052359393139,0.6790444056693501
voluntary_switches,694,0.012884598934464763,0.0005534144646266965,0.5018076644974693,0.1625466451837162,0.6643543096811855
avg_mutex_wait_ns,650,0.012946145617781957,0.0009087448825068579,0.4699927693420101,0.16332309208332707,0.6333158614253371
avg_futex_latency_ns,649,0.009474553920966832,0.0006243472864225428,0.4692697035430224,0.1195269610096993,0.5887966645527217
latency_count,546,0.015096121485100467,0.0004076248724231054,0.3947939262472885,0.19044627738665693,0.5852402036339455
total_runtime_ns,749,0.0022724790045317357,0.0007206260469959126,0.5415762834417932,0.02866863301806058,0.5702449164598538
ctx_switches,482,0.00748172398662339,0.000503782731963294,0.3485177151120752,0.09438626226565507,0.44290397737773024
avg_rwsem_read_wait_ns,452,0.0007743942474903953,0.00044787116958980826,0.32682574114244395,0.009769429969793714,0.3365951711122377
futex_ratio,314,0.006745192320711868,0.0006827569068841769,0.22704266088214028,0.08509449059511802,0.3121371514772583
rwsem_read_contentions,358,0.0034194722987684447,0.0004831372507709508,0.2588575560375994,0.0431386148137447,0.3019961708513441
max_syscall_latency_ns,370,0.0014751730589789513,0.00039869347301335763,0.2675343456254519,0.018610158765674432,0.2861445043911264
mutex_contentions,286,0.00551271130267692,0.0004193160815031317,0.20679681851048445,0.0695460318690712,0.27634285037955564
kfree_count,331,0.0018751391525271056,0.0006349201874376414,0.2393347794649313,0.02365596166758599,0.2629907411325173
avg_syscall_latency_ns,284,0.002006577445005231,0.00024457321085561844,0.20535068691250905,0.025314131518247535,0.2306648184307566
cpu_memory_ratio,292,0.0008263010462688847,0.0004085146756151718,0.2111352133044107,0.010424264167317778,0.2215594774717285
syscall_rate,270,0.0017397923351575527,0.0005403660457226514,0.19522776572668113,0.0219484835216527,0.21717624924833384
max_mutex_wait_ns,261,0.001919700116211387,0.00024696426308283906,0.18872017353579176,0.024218123919579615,0.21293829745537138
alloc_pressure,255,0.0017740236741413452,0.000503490544460731,0.1843817787418655,0.022380331601694874,0.20676211034356037
syscall_error_ratio,247,0.0006113181705213577,0.00012494738265705896,0.17859725234996385,0.0077121312245348106,0.18630938357449867
lock_pressure,220,0.0017275919222181635,0.00038358117508434635,0.15907447577729572,0.021794568277317926,0.18086904405461365
fault_rate,173,0.0005325689259777944,0.00019842008201632398,0.12509038322487345,0.006718664095568253,0.1318090473204417
lock_cpu_ratio,142,0.001232478945320481,0.00031498976770841686,0.10267534345625452,0.015548432577558618,0.11822377603381314
syscall_error_count,120,0.0018532448375074174,0.00021944809360859173,0.08676789587852494,0.023379752258729167,0.11014764813725411
memory_lock_ratio,132,0.00046781845681462817,0.00038146983851224955,0.09544468546637744,0.0059017995901166085,0.10134648505649405
bytes_per_syscall,123,0.0005719714928642316,0.0002730245960073391,0.08893709327548807,0.0072157501974790695,0.09615284347296714
poll_count,109,0.0006905899095002166,0.0002564520303647871,0.07881417208966016,0.008712189922087743,0.0875263620117479
write_count,102,0.0010299685216199617,0.00016336877713055492,0.0737527114967462,0.012993646809318502,0.0867463583060647
io_intensity,106,0.00016626507873775953,6.221221896567554e-05,0.07664497469269703,0.0020975298414402615,0.0787425045341373
write_bytes,92,0.00046890518817663816,0.00013233607934940494,0.06652205350686913,0.005915509332888512,0.07243756283975764
kmalloc_count,92,0.0003576125079065129,0.00014195551663732098,0.06652205350686913,0.00451148799676267,0.0710335415036318
minor_faults,80,0.0009971026876384181,0.0001599571237314886,0.05784526391901663,0.012579025362268641,0.07042428928128527
avg_epoll_latency_ns,82,0.0002327421722631673,6.377896372026858e-05,0.05929139551699204,0.002936176708842196,0.06222757222583424
total_alloc_bytes,68,0.00033733488363156815,0.00033170247966021434,0.049168474331164135,0.0042556740738805545,0.05342414840504469
major_fault_ratio,73,-1.0178887856837626e-05,5.8306911381389404e-05,0.05278380332610268,-0.00012841253974964757,0.05265539078635303
read_bytes,62,0.000606321311368152,0.0002760526343477974,0.04483007953723789,0.00764909296498631,0.0524791725022242
io_cpu_ratio,59,0.0002438768863811891,6.146448745380472e-05,0.04266088214027477,0.0030766475480332326,0.045737529688308
mmap_count,60,9.494491584935983e-05,3.5084192846126314e-05,0.04338394793926247,0.0011977848613729306,0.044581732800635404
major_faults,58,0.0001484478820729107,8.638818312239545e-05,0.04193781634128706,0.0018727556316118993,0.043810571972898955
futex_count,51,0.0005193987115654775,0.0002318411441396248,0.0368763557483731,0.0065525142464374405,0.04342886999481054
epoll_count,51,5.264655066030688e-05,0.00013468244690325703,0.0368763557483731,0.0006641665940751247,0.03754052234244822
syscall_count,40,0.0001672495426901399,6.883733372448285e-05,0.028922631959508314,0.0021099494218693965,0.03103258138137771
read_count,35,0.00018432710155884545,6.28819329331971e-05,0.025307302964569775,0.002325392674403265,0.02763269563897304
avg_rwsem_write_wait_ns,0,0.0,0.0,0.0,0.0,0.0
free_pressure,0,0.0,0.0,0.0,0.0,0.0
avg_runq_ratio,0,0.0,0.0,0.0,0.0,0.0
large_page_allocs,0,0.0,0.0,0.0,0.0,0.0
large_page_ratio,0,0.0,0.0,0.0,0.0,0.0
mutex_wait_per_contention,0,0.0,0.0,0.0,0.0,0.0
max_rwsem_write_wait_ns,0,0.0,0.0,0.0,0.0,0.0
rwsem_write_contentions,0,0.0,0.0,0.0,0.0,0.0
rwsem_pressure,0,0.0,0.0,0.0,0.0,0.0
rwsem_write_ratio,0,0.0,0.0,0.0,0.0,0.0
total_free_bytes,0,0.0,0.0,0.0,0.0,0.0
